Date;Area;Duration;Visitors
14/12/2019;Piazza Rossini (Palazzo Malvezzi);from 5 to 10 minutes;484
14/12/2019;Piazza Rossini (Palazzo Malvezzi);from 40 to 60 minutes;55
14/12/2019;Piazza Rossini (Palazzo Malvezzi);from 3 to 4 hours;6
14/12/2019;Piazza Rossini (Palazzo Malvezzi);from 4 to 6 hours;11
15/12/2019;Porta San Donato;from 5 to 10 minutes;1008
15/12/2019;Porta San Donato;from 10 to 20 minutes;1047
15/12/2019;Porta San Donato;from 20 to 40 minutes;838
15/12/2019;Piazza Puntoni (Via Zamboni);less 1 minute;3147
15/12/2019;Piazza Puntoni (Via Zamboni);from 1 to 5 minutes;2054
15/12/2019;Piazza Puntoni (Via Zamboni);from 10 to 20 minutes;323
15/12/2019;Piazza Puntoni (Via Zamboni);from 20 to 40 minutes;341
15/12/2019;Piazza Puntoni (Via Zamboni);from 40 to 60 minutes;148
15/12/2019;Piazza Puntoni (Via Zamboni);from 60 to 90 minutes;119
15/12/2019;Via San Giacomo;less 1 minute;6588
15/12/2019;Via San Giacomo;from 20 to 40 minutes;262
15/12/2019;Via San Giacomo;from 60 to 90 minutes;60
15/12/2019;Piazza Scaravilli;less 1 minute;0
15/12/2019;Piazza Scaravilli;from 90 to 120 minutes;0
15/12/2019;Piazza Scaravilli;from 3 to 4 hours;0
15/12/2019;Piazza Scaravilli;from 4 to 6 hours;0
15/12/2019;Piazza Scaravilli;over 6 hours;0
15/12/2019;Palazzo Poggi;from 1 to 5 minutes;0
15/12/2019;Palazzo Poggi;from 90 to 120 minutes;0
15/12/2019;Palazzo Poggi;from 2 to 3 hours;0
15/12/2019;Palazzo Poggi;from 4 to 6 hours;0
15/12/2019;Via Del Guasto;from 1 to 5 minutes;1403
15/12/2019;Via Del Guasto;from 5 to 10 minutes;345
15/12/2019;Via Del Guasto;from 20 to 40 minutes;176
15/12/2019;Via Del Guasto;from 60 to 90 minutes;41
15/12/2019;Via Del Guasto;from 3 to 4 hours;4
15/12/2019;Via Del Guasto;from 4 to 6 hours;5
15/12/2019;Piazza Verdi;from 90 to 120 minutes;57
15/12/2019;Piazza Verdi;over 6 hours;23
15/12/2019;Facoltà Di Giurisprudenza;less 1 minute;9372
15/12/2019;Facoltà Di Giurisprudenza;from 5 to 10 minutes;841
15/12/2019;Facoltà Di Giurisprudenza;from 10 to 20 minutes;608
15/12/2019;Facoltà Di Giurisprudenza;from 60 to 90 minutes;59
15/12/2019;Facoltà Di Giurisprudenza;from 90 to 120 minutes;34
15/12/2019;Facoltà Di Giurisprudenza;from 2 to 3 hours;19
15/12/2019;Facoltà Di Giurisprudenza;from 3 to 4 hours;8
15/12/2019;Piazza Rossini (Palazzo Malvezzi);from 1 to 5 minutes;3561
15/12/2019;Piazza Rossini (Palazzo Malvezzi);from 2 to 3 hours;14
15/12/2019;2 Torri (Inizio Portico Via Zamboni);less 1 minute;0
15/12/2019;2 Torri (Inizio Portico Via Zamboni);from 5 to 10 minutes;0
15/12/2019;2 Torri (Inizio Portico Via Zamboni);from 40 to 60 minutes;0
15/12/2019;2 Torri (Inizio Portico Via Zamboni);from 60 to 90 minutes;0
15/12/2019;2 Torri (Inizio Portico Via Zamboni);from 2 to 3 hours;0
16/12/2019;Porta San Donato;less 1 minute;10916
16/12/2019;Porta San Donato;from 10 to 20 minutes;1451
16/12/2019;Porta San Donato;from 40 to 60 minutes;350
16/12/2019;Piazza Puntoni (Via Zamboni);from 40 to 60 minutes;231
16/12/2019;Via San Giacomo;from 1 to 5 minutes;3886
16/12/2019;Via San Giacomo;from 5 to 10 minutes;895
16/12/2019;Via San Giacomo;from 60 to 90 minutes;133
16/12/2019;Via San Giacomo;from 90 to 120 minutes;86
16/12/2019;Via San Giacomo;from 4 to 6 hours;16
16/12/2019;Piazza Scaravilli;from 5 to 10 minutes;0
16/12/2019;Piazza Scaravilli;from 10 to 20 minutes;0
16/12/2019;Piazza Scaravilli;from 4 to 6 hours;0
16/12/2019;Palazzo Poggi;less 1 minute;7903
16/12/2019;Palazzo Poggi;from 1 to 5 minutes;3142
16/12/2019;Via Del Guasto;from 5 to 10 minutes;488
16/12/2019;Via Del Guasto;from 10 to 20 minutes;538
16/12/2019;Via Del Guasto;from 60 to 90 minutes;119
16/12/2019;Piazza Verdi;less 1 minute;10704
16/12/2019;Piazza Verdi;from 90 to 120 minutes;71
16/12/2019;Facoltà Di Giurisprudenza;less 1 minute;9464
16/12/2019;Facoltà Di Giurisprudenza;from 5 to 10 minutes;553
16/12/2019;Facoltà Di Giurisprudenza;from 20 to 40 minutes;295
16/12/2019;Facoltà Di Giurisprudenza;from 90 to 120 minutes;23
16/12/2019;Facoltà Di Giurisprudenza;over 6 hours;12
16/12/2019;Piazza Rossini (Palazzo Malvezzi);from 20 to 40 minutes;292
16/12/2019;Piazza Rossini (Palazzo Malvezzi);over 6 hours;31
16/12/2019;2 Torri (Inizio Portico Via Zamboni);from 5 to 10 minutes;0
16/12/2019;2 Torri (Inizio Portico Via Zamboni);from 20 to 40 minutes;0
16/12/2019;2 Torri (Inizio Portico Via Zamboni);from 60 to 90 minutes;0
17/12/2019;Porta San Donato;from 40 to 60 minutes;348
17/12/2019;Porta San Donato;from 2 to 3 hours;159
17/12/2019;Porta San Donato;over 6 hours;94
17/12/2019;Piazza Puntoni (Via Zamboni);less 1 minute;5410
17/12/2019;Piazza Puntoni (Via Zamboni);from 1 to 5 minutes;2615
17/12/2019;Piazza Puntoni (Via Zamboni);from 5 to 10 minutes;696
17/12/2019;Piazza Puntoni (Via Zamboni);from 4 to 6 hours;22
17/12/2019;Piazza Puntoni (Via Zamboni);over 6 hours;45
17/12/2019;Via San Giacomo;from 1 to 5 minutes;3820
17/12/2019;Via San Giacomo;from 5 to 10 minutes;859
17/12/2019;Via San Giacomo;from 40 to 60 minutes;184
17/12/2019;Via San Giacomo;from 90 to 120 minutes;67
17/12/2019;Via San Giacomo;from 4 to 6 hours;20
17/12/2019;Via San Giacomo;over 6 hours;10
17/12/2019;Piazza Scaravilli;from 60 to 90 minutes;0
17/12/2019;Piazza Scaravilli;from 2 to 3 hours;0
17/12/2019;Piazza Scaravilli;from 3 to 4 hours;0
17/12/2019;Piazza Scaravilli;over 6 hours;0
17/12/2019;Palazzo Poggi;from 10 to 20 minutes;503
17/12/2019;Palazzo Poggi;from 20 to 40 minutes;344
17/12/2019;Palazzo Poggi;from 90 to 120 minutes;29
17/12/2019;Palazzo Poggi;from 3 to 4 hours;2
17/12/2019;Palazzo Poggi;from 4 to 6 hours;2
17/12/2019;Palazzo Poggi;over 6 hours;1
17/12/2019;Via Del Guasto;from 1 to 5 minutes;1838
17/12/2019;Via Del Guasto;from 60 to 90 minutes;158
17/12/2019;Via Del Guasto;from 4 to 6 hours;42
17/12/2019;Via Del Guasto;over 6 hours;10
17/12/2019;Piazza Verdi;from 20 to 40 minutes;876
17/12/2019;Piazza Verdi;from 40 to 60 minutes;251
17/12/2019;Piazza Verdi;from 60 to 90 minutes;154
17/12/2019;Piazza Verdi;from 3 to 4 hours;23
17/12/2019;Piazza Verdi;over 6 hours;29
17/12/2019;Facoltà Di Giurisprudenza;less 1 minute;10189
17/12/2019;Facoltà Di Giurisprudenza;from 1 to 5 minutes;4276
17/12/2019;Facoltà Di Giurisprudenza;from 10 to 20 minutes;465
17/12/2019;Facoltà Di Giurisprudenza;from 90 to 120 minutes;15
17/12/2019;Facoltà Di Giurisprudenza;from 2 to 3 hours;11
17/12/2019;Facoltà Di Giurisprudenza;from 3 to 4 hours;6
17/12/2019;Facoltà Di Giurisprudenza;over 6 hours;8
17/12/2019;Piazza Rossini (Palazzo Malvezzi);less 1 minute;12727
17/12/2019;Piazza Rossini (Palazzo Malvezzi);from 1 to 5 minutes;3342
17/12/2019;Piazza Rossini (Palazzo Malvezzi);from 20 to 40 minutes;314
17/12/2019;Piazza Rossini (Palazzo Malvezzi);from 4 to 6 hours;22
17/12/2019;Piazza Rossini (Palazzo Malvezzi);over 6 hours;32
17/12/2019;2 Torri (Inizio Portico Via Zamboni);less 1 minute;0
17/12/2019;2 Torri (Inizio Portico Via Zamboni);from 1 to 5 minutes;0
17/12/2019;2 Torri (Inizio Portico Via Zamboni);from 10 to 20 minutes;0
17/12/2019;2 Torri (Inizio Portico Via Zamboni);over 6 hours;0
18/12/2019;Porta San Donato;from 1 to 5 minutes;11767
18/12/2019;Porta San Donato;from 90 to 120 minutes;162
18/12/2019;Piazza Puntoni (Via Zamboni);less 1 minute;5711
18/12/2019;Piazza Puntoni (Via Zamboni);from 1 to 5 minutes;2973
18/12/2019;Piazza Puntoni (Via Zamboni);from 40 to 60 minutes;225
18/12/2019;Piazza Puntoni (Via Zamboni);from 90 to 120 minutes;56
18/12/2019;Piazza Puntoni (Via Zamboni);from 4 to 6 hours;17
18/12/2019;Via San Giacomo;from 5 to 10 minutes;959
18/12/2019;Via San Giacomo;from 60 to 90 minutes;134
18/12/2019;Via San Giacomo;from 3 to 4 hours;29
18/12/2019;Piazza Scaravilli;from 20 to 40 minutes;0
18/12/2019;Piazza Scaravilli;from 60 to 90 minutes;0
18/12/2019;Piazza Scaravilli;from 90 to 120 minutes;0
18/12/2019;Piazza Scaravilli;from 2 to 3 hours;0
18/12/2019;Piazza Scaravilli;over 6 hours;0
18/12/2019;Palazzo Poggi;from 1 to 5 minutes;3415
18/12/2019;Palazzo Poggi;from 10 to 20 minutes;525
18/12/2019;Via Del Guasto;from 5 to 10 minutes;534
18/12/2019;Via Del Guasto;from 90 to 120 minutes;92
18/12/2019;Piazza Verdi;from 1 to 5 minutes;5748
18/12/2019;Piazza Verdi;from 5 to 10 minutes;1278
18/12/2019;Piazza Verdi;from 20 to 40 minutes;949
18/12/2019;Piazza Verdi;from 40 to 60 minutes;253
18/12/2019;Piazza Verdi;from 60 to 90 minutes;171
18/12/2019;Facoltà Di Giurisprudenza;less 1 minute;11330
18/12/2019;Facoltà Di Giurisprudenza;from 5 to 10 minutes;720
18/12/2019;Facoltà Di Giurisprudenza;from 90 to 120 minutes;9
18/12/2019;Facoltà Di Giurisprudenza;from 4 to 6 hours;3
18/12/2019;Piazza Rossini (Palazzo Malvezzi);from 5 to 10 minutes;584
18/12/2019;Piazza Rossini (Palazzo Malvezzi);from 2 to 3 hours;27
18/12/2019;Piazza Rossini (Palazzo Malvezzi);from 3 to 4 hours;11
18/12/2019;Piazza Rossini (Palazzo Malvezzi);from 4 to 6 hours;15
18/12/2019;2 Torri (Inizio Portico Via Zamboni);from 1 to 5 minutes;0
18/12/2019;2 Torri (Inizio Portico Via Zamboni);from 40 to 60 minutes;0
18/12/2019;2 Torri (Inizio Portico Via Zamboni);from 90 to 120 minutes;0
19/12/2019;Porta San Donato;from 40 to 60 minutes;330
19/12/2019;Porta San Donato;from 90 to 120 minutes;129
19/12/2019;Porta San Donato;from 2 to 3 hours;124
19/12/2019;Piazza Puntoni (Via Zamboni);from 60 to 90 minutes;111
19/12/2019;Piazza Puntoni (Via Zamboni);from 90 to 120 minutes;67
19/12/2019;Piazza Puntoni (Via Zamboni);from 2 to 3 hours;54
19/12/2019;Piazza Puntoni (Via Zamboni);from 3 to 4 hours;13
19/12/2019;Piazza Puntoni (Via Zamboni);from 4 to 6 hours;31
19/12/2019;Piazza Puntoni (Via Zamboni);over 6 hours;48
19/12/2019;Via San Giacomo;from 1 to 5 minutes;4590
19/12/2019;Via San Giacomo;from 10 to 20 minutes;803
19/12/2019;Via San Giacomo;from 60 to 90 minutes;120
19/12/2019;Via San Giacomo;from 90 to 120 minutes;60
19/12/2019;Piazza Scaravilli;from 1 to 5 minutes;0
19/12/2019;Piazza Scaravilli;from 60 to 90 minutes;0
19/12/2019;Piazza Scaravilli;from 90 to 120 minutes;0
19/12/2019;Piazza Scaravilli;from 4 to 6 hours;0
19/12/2019;Piazza Scaravilli;over 6 hours;0
19/12/2019;Palazzo Poggi;from 1 to 5 minutes;3525
19/12/2019;Palazzo Poggi;from 20 to 40 minutes;360
19/12/2019;Palazzo Poggi;from 60 to 90 minutes;54
19/12/2019;Palazzo Poggi;from 90 to 120 minutes;25
19/12/2019;Via Del Guasto;from 40 to 60 minutes;182
19/12/2019;Via Del Guasto;from 3 to 4 hours;38
19/12/2019;Piazza Verdi;from 5 to 10 minutes;1353
19/12/2019;Piazza Verdi;from 10 to 20 minutes;1265
19/12/2019;Piazza Verdi;from 20 to 40 minutes;1104
19/12/2019;Piazza Verdi;from 60 to 90 minutes;181
19/12/2019;Piazza Verdi;from 90 to 120 minutes;93
19/12/2019;Piazza Verdi;from 3 to 4 hours;27
19/12/2019;Piazza Verdi;over 6 hours;31
19/12/2019;Facoltà Di Giurisprudenza;from 1 to 5 minutes;4870
19/12/2019;Facoltà Di Giurisprudenza;from 5 to 10 minutes;687
19/12/2019;Facoltà Di Giurisprudenza;from 10 to 20 minutes;602
19/12/2019;Facoltà Di Giurisprudenza;from 3 to 4 hours;5
19/12/2019;Piazza Rossini (Palazzo Malvezzi);from 20 to 40 minutes;338
19/12/2019;Piazza Rossini (Palazzo Malvezzi);from 90 to 120 minutes;48
19/12/2019;Piazza Rossini (Palazzo Malvezzi);from 4 to 6 hours;13
20/12/2019;Porta San Donato;less 1 minute;12714
20/12/2019;Porta San Donato;from 40 to 60 minutes;285
20/12/2019;Porta San Donato;from 60 to 90 minutes;217
20/12/2019;Porta San Donato;from 4 to 6 hours;72
20/12/2019;Piazza Puntoni (Via Zamboni);less 1 minute;5494
20/12/2019;Piazza Puntoni (Via Zamboni);from 5 to 10 minutes;469
20/12/2019;Piazza Puntoni (Via Zamboni);from 10 to 20 minutes;457
20/12/2019;Piazza Puntoni (Via Zamboni);from 20 to 40 minutes;381
20/12/2019;Piazza Puntoni (Via Zamboni);from 40 to 60 minutes;156
20/12/2019;Piazza Puntoni (Via Zamboni);from 4 to 6 hours;22
20/12/2019;Via San Giacomo;from 5 to 10 minutes;832
20/12/2019;Via San Giacomo;from 40 to 60 minutes;170
20/12/2019;Via San Giacomo;from 60 to 90 minutes;96
20/12/2019;Via San Giacomo;over 6 hours;11
20/12/2019;Piazza Scaravilli;from 1 to 5 minutes;0
20/12/2019;Piazza Scaravilli;from 5 to 10 minutes;0
20/12/2019;Piazza Scaravilli;from 60 to 90 minutes;0
20/12/2019;Piazza Scaravilli;from 90 to 120 minutes;0
20/12/2019;Piazza Scaravilli;over 6 hours;0
20/12/2019;Palazzo Poggi;less 1 minute;6287
20/12/2019;Palazzo Poggi;from 10 to 20 minutes;360
20/12/2019;Palazzo Poggi;from 2 to 3 hours;12
20/12/2019;Palazzo Poggi;over 6 hours;0
20/12/2019;Via Del Guasto;from 20 to 40 minutes;423
20/12/2019;Via Del Guasto;from 90 to 120 minutes;38
20/12/2019;Via Del Guasto;from 2 to 3 hours;61
20/12/2019;Via Del Guasto;from 4 to 6 hours;15
20/12/2019;Piazza Verdi;from 5 to 10 minutes;1437
20/12/2019;Piazza Verdi;from 20 to 40 minutes;1043
20/12/2019;Piazza Verdi;from 60 to 90 minutes;190
20/12/2019;Piazza Verdi;from 90 to 120 minutes;64
20/12/2019;Piazza Verdi;from 2 to 3 hours;60
20/12/2019;Facoltà Di Giurisprudenza;less 1 minute;10950
20/12/2019;Facoltà Di Giurisprudenza;from 20 to 40 minutes;488
20/12/2019;Facoltà Di Giurisprudenza;from 90 to 120 minutes;18
20/12/2019;Facoltà Di Giurisprudenza;from 4 to 6 hours;2
20/12/2019;Piazza Rossini (Palazzo Malvezzi);less 1 minute;13426
20/12/2019;Piazza Rossini (Palazzo Malvezzi);from 5 to 10 minutes;501
20/12/2019;Piazza Rossini (Palazzo Malvezzi);from 10 to 20 minutes;377
20/12/2019;Piazza Rossini (Palazzo Malvezzi);from 20 to 40 minutes;304
20/12/2019;Piazza Rossini (Palazzo Malvezzi);from 2 to 3 hours;24
20/12/2019;Piazza Rossini (Palazzo Malvezzi);from 3 to 4 hours;14
20/12/2019;Piazza Rossini (Palazzo Malvezzi);from 4 to 6 hours;16
20/12/2019;Piazza Rossini (Palazzo Malvezzi);over 6 hours;39
20/12/2019;2 Torri (Inizio Portico Via Zamboni);less 1 minute;0
20/12/2019;2 Torri (Inizio Portico Via Zamboni);from 5 to 10 minutes;0
20/12/2019;2 Torri (Inizio Portico Via Zamboni);from 40 to 60 minutes;0
20/12/2019;2 Torri (Inizio Portico Via Zamboni);from 60 to 90 minutes;0
20/12/2019;2 Torri (Inizio Portico Via Zamboni);from 90 to 120 minutes;0
21/12/2019;Porta San Donato;from 10 to 20 minutes;1119
21/12/2019;Porta San Donato;from 20 to 40 minutes;1050
21/12/2019;Porta San Donato;from 60 to 90 minutes;180
21/12/2019;Porta San Donato;over 6 hours;79
21/12/2019;Piazza Puntoni (Via Zamboni);less 1 minute;3304
21/12/2019;Piazza Puntoni (Via Zamboni);from 10 to 20 minutes;316
21/12/2019;Piazza Puntoni (Via Zamboni);from 40 to 60 minutes;60
21/12/2019;Piazza Puntoni (Via Zamboni);from 60 to 90 minutes;98
21/12/2019;Piazza Puntoni (Via Zamboni);from 3 to 4 hours;23
21/12/2019;Piazza Puntoni (Via Zamboni);over 6 hours;41
21/12/2019;Via San Giacomo;less 1 minute;6136
21/12/2019;Via San Giacomo;from 1 to 5 minutes;3312
21/12/2019;Via San Giacomo;from 10 to 20 minutes;180
21/12/2019;Via San Giacomo;from 90 to 120 minutes;8
21/12/2019;Via San Giacomo;from 3 to 4 hours;4
21/12/2019;Piazza Scaravilli;from 1 to 5 minutes;0
21/12/2019;Piazza Scaravilli;from 10 to 20 minutes;0
21/12/2019;Piazza Scaravilli;from 20 to 40 minutes;0
21/12/2019;Palazzo Poggi;less 1 minute;840
21/12/2019;Palazzo Poggi;from 20 to 40 minutes;26
21/12/2019;Palazzo Poggi;from 90 to 120 minutes;2
21/12/2019;Palazzo Poggi;from 2 to 3 hours;2
21/12/2019;Via Del Guasto;from 1 to 5 minutes;1369
21/12/2019;Via Del Guasto;from 5 to 10 minutes;431
21/12/2019;Via Del Guasto;from 20 to 40 minutes;225
21/12/2019;Via Del Guasto;from 2 to 3 hours;32
21/12/2019;Via Del Guasto;from 3 to 4 hours;17
21/12/2019;Piazza Verdi;from 5 to 10 minutes;1249
21/12/2019;Piazza Verdi;from 10 to 20 minutes;1152
21/12/2019;Piazza Verdi;from 20 to 40 minutes;993
21/12/2019;Piazza Verdi;from 3 to 4 hours;23
21/12/2019;Facoltà Di Giurisprudenza;from 1 to 5 minutes;5102
21/12/2019;Facoltà Di Giurisprudenza;from 60 to 90 minutes;52
21/12/2019;Facoltà Di Giurisprudenza;from 90 to 120 minutes;14
21/12/2019;Facoltà Di Giurisprudenza;from 2 to 3 hours;22
21/12/2019;Facoltà Di Giurisprudenza;from 3 to 4 hours;13
21/12/2019;Piazza Rossini (Palazzo Malvezzi);less 1 minute;11132
21/12/2019;Piazza Rossini (Palazzo Malvezzi);from 1 to 5 minutes;3375
21/12/2019;Piazza Rossini (Palazzo Malvezzi);from 5 to 10 minutes;443
21/12/2019;Piazza Rossini (Palazzo Malvezzi);from 10 to 20 minutes;267
21/12/2019;Piazza Rossini (Palazzo Malvezzi);from 20 to 40 minutes;190
21/12/2019;Piazza Rossini (Palazzo Malvezzi);from 40 to 60 minutes;41
21/12/2019;Piazza Rossini (Palazzo Malvezzi);from 90 to 120 minutes;4
21/12/2019;2 Torri (Inizio Portico Via Zamboni);from 10 to 20 minutes;0
22/12/2019;Porta San Donato;from 1 to 5 minutes;8081
22/12/2019;Porta San Donato;from 10 to 20 minutes;856
22/12/2019;Porta San Donato;from 2 to 3 hours;43
22/12/2019;Piazza Puntoni (Via Zamboni);from 40 to 60 minutes;104
22/12/2019;Piazza Puntoni (Via Zamboni);from 2 to 3 hours;50
22/12/2019;Via San Giacomo;from 40 to 60 minutes;44
22/12/2019;Via San Giacomo;from 60 to 90 minutes;14
22/12/2019;Via San Giacomo;from 90 to 120 minutes;0
22/12/2019;Piazza Scaravilli;from 1 to 5 minutes;0
22/12/2019;Piazza Scaravilli;from 40 to 60 minutes;0
22/12/2019;Palazzo Poggi;from 1 to 5 minutes;0
22/12/2019;Palazzo Poggi;from 40 to 60 minutes;0
22/12/2019;Palazzo Poggi;from 90 to 120 minutes;0
22/12/2019;Palazzo Poggi;from 2 to 3 hours;0
22/12/2019;Via Del Guasto;less 1 minute;1750
22/12/2019;Via Del Guasto;from 5 to 10 minutes;252
22/12/2019;Via Del Guasto;over 6 hours;11
22/12/2019;Piazza Verdi;from 5 to 10 minutes;1108
22/12/2019;Piazza Verdi;from 10 to 20 minutes;996
22/12/2019;Piazza Verdi;from 20 to 40 minutes;794
22/12/2019;Piazza Verdi;from 40 to 60 minutes;253
22/12/2019;Piazza Verdi;from 2 to 3 hours;48
22/12/2019;Piazza Verdi;from 3 to 4 hours;19
22/12/2019;Facoltà Di Giurisprudenza;from 10 to 20 minutes;539
22/12/2019;Facoltà Di Giurisprudenza;from 40 to 60 minutes;80
22/12/2019;Facoltà Di Giurisprudenza;from 60 to 90 minutes;46
22/12/2019;Piazza Rossini (Palazzo Malvezzi);less 1 minute;8661
22/12/2019;Piazza Rossini (Palazzo Malvezzi);from 5 to 10 minutes;334
22/12/2019;Piazza Rossini (Palazzo Malvezzi);from 60 to 90 minutes;20
22/12/2019;2 Torri (Inizio Portico Via Zamboni);less 1 minute;0
22/12/2019;2 Torri (Inizio Portico Via Zamboni);from 5 to 10 minutes;0
22/12/2019;2 Torri (Inizio Portico Via Zamboni);from 40 to 60 minutes;0
22/12/2019;2 Torri (Inizio Portico Via Zamboni);from 90 to 120 minutes;0
22/12/2019;2 Torri (Inizio Portico Via Zamboni);from 4 to 6 hours;0
23/12/2019;Porta San Donato;from 1 to 5 minutes;8620
23/12/2019;Porta San Donato;from 3 to 4 hours;39
23/12/2019;Piazza Puntoni (Via Zamboni);less 1 minute;2839
23/12/2019;Piazza Puntoni (Via Zamboni);from 1 to 5 minutes;1586
23/12/2019;Piazza Puntoni (Via Zamboni);from 60 to 90 minutes;65
23/12/2019;Piazza Puntoni (Via Zamboni);from 3 to 4 hours;22
23/12/2019;Via San Giacomo;from 5 to 10 minutes;257
23/12/2019;Via San Giacomo;from 10 to 20 minutes;190
23/12/2019;Via San Giacomo;from 2 to 3 hours;8
23/12/2019;Via San Giacomo;from 3 to 4 hours;5
23/12/2019;Via San Giacomo;over 6 hours;18
23/12/2019;Piazza Scaravilli;less 1 minute;0
23/12/2019;Piazza Scaravilli;from 1 to 5 minutes;0
23/12/2019;Piazza Scaravilli;from 5 to 10 minutes;0
23/12/2019;Piazza Scaravilli;from 40 to 60 minutes;0
23/12/2019;Piazza Scaravilli;from 4 to 6 hours;0
23/12/2019;Palazzo Poggi;from 20 to 40 minutes;19
23/12/2019;Palazzo Poggi;from 60 to 90 minutes;3
23/12/2019;Via Del Guasto;from 60 to 90 minutes;27
23/12/2019;Via Del Guasto;over 6 hours;12
23/12/2019;Piazza Verdi;from 5 to 10 minutes;663
23/12/2019;Piazza Verdi;from 10 to 20 minutes;625
23/12/2019;Piazza Verdi;from 20 to 40 minutes;535
23/12/2019;Piazza Verdi;from 40 to 60 minutes;148
23/12/2019;Piazza Verdi;from 60 to 90 minutes;109
23/12/2019;Piazza Verdi;from 90 to 120 minutes;46
23/12/2019;Facoltà Di Giurisprudenza;less 1 minute;7934
23/12/2019;Facoltà Di Giurisprudenza;from 60 to 90 minutes;40
23/12/2019;Facoltà Di Giurisprudenza;from 2 to 3 hours;7
23/12/2019;Piazza Rossini (Palazzo Malvezzi);from 1 to 5 minutes;1988
23/12/2019;Piazza Rossini (Palazzo Malvezzi);from 5 to 10 minutes;285
23/12/2019;Piazza Rossini (Palazzo Malvezzi);from 90 to 120 minutes;12
23/12/2019;Piazza Rossini (Palazzo Malvezzi);from 3 to 4 hours;14
23/12/2019;2 Torri (Inizio Portico Via Zamboni);from 10 to 20 minutes;0
23/12/2019;2 Torri (Inizio Portico Via Zamboni);from 20 to 40 minutes;0
23/12/2019;2 Torri (Inizio Portico Via Zamboni);from 40 to 60 minutes;0
23/12/2019;2 Torri (Inizio Portico Via Zamboni);from 60 to 90 minutes;0
23/12/2019;2 Torri (Inizio Portico Via Zamboni);from 3 to 4 hours;0
24/12/2019;Porta San Donato;from 1 to 5 minutes;5583
24/12/2019;Porta San Donato;from 5 to 10 minutes;568
24/12/2019;Porta San Donato;from 90 to 120 minutes;33
24/12/2019;Porta San Donato;from 3 to 4 hours;24
24/12/2019;Piazza Puntoni (Via Zamboni);from 5 to 10 minutes;171
24/12/2019;Piazza Puntoni (Via Zamboni);from 40 to 60 minutes;58
24/12/2019;Via San Giacomo;from 5 to 10 minutes;148
24/12/2019;Via San Giacomo;from 10 to 20 minutes;96
24/12/2019;Via San Giacomo;from 60 to 90 minutes;16
24/12/2019;Via San Giacomo;from 2 to 3 hours;4
24/12/2019;Piazza Scaravilli;less 1 minute;262
24/12/2019;Piazza Scaravilli;from 60 to 90 minutes;7
24/12/2019;Piazza Scaravilli;from 2 to 3 hours;1
24/12/2019;Palazzo Poggi;from 40 to 60 minutes;5
24/12/2019;Palazzo Poggi;from 60 to 90 minutes;2
24/12/2019;Palazzo Poggi;from 3 to 4 hours;0
24/12/2019;Via Del Guasto;less 1 minute;798
24/12/2019;Via Del Guasto;from 1 to 5 minutes;504
24/12/2019;Via Del Guasto;from 60 to 90 minutes;18
24/12/2019;Via Del Guasto;from 90 to 120 minutes;8
24/12/2019;Via Del Guasto;over 6 hours;14
24/12/2019;Piazza Verdi;from 10 to 20 minutes;415
24/12/2019;Piazza Verdi;from 20 to 40 minutes;370
24/12/2019;Piazza Verdi;from 40 to 60 minutes;86
24/12/2019;Piazza Verdi;from 60 to 90 minutes;56
24/12/2019;Piazza Verdi;from 3 to 4 hours;24
24/12/2019;Piazza Verdi;over 6 hours;28
24/12/2019;Facoltà Di Giurisprudenza;from 1 to 5 minutes;1926
24/12/2019;Facoltà Di Giurisprudenza;from 5 to 10 minutes;322
24/12/2019;Facoltà Di Giurisprudenza;from 10 to 20 minutes;290
24/12/2019;Facoltà Di Giurisprudenza;from 60 to 90 minutes;23
24/12/2019;Facoltà Di Giurisprudenza;from 3 to 4 hours;1
24/12/2019;Piazza Rossini (Palazzo Malvezzi);less 1 minute;5407
24/12/2019;Piazza Rossini (Palazzo Malvezzi);from 1 to 5 minutes;1297
24/12/2019;Piazza Rossini (Palazzo Malvezzi);from 40 to 60 minutes;36
24/12/2019;Piazza Rossini (Palazzo Malvezzi);from 2 to 3 hours;15
24/12/2019;Piazza Rossini (Palazzo Malvezzi);from 3 to 4 hours;15
24/12/2019;Piazza Rossini (Palazzo Malvezzi);over 6 hours;23
24/12/2019;2 Torri (Inizio Portico Via Zamboni);from 5 to 10 minutes;0
24/12/2019;2 Torri (Inizio Portico Via Zamboni);from 10 to 20 minutes;0
24/12/2019;2 Torri (Inizio Portico Via Zamboni);from 60 to 90 minutes;0
25/12/2019;Porta San Donato;from 5 to 10 minutes;413
25/12/2019;Porta San Donato;from 10 to 20 minutes;535
25/12/2019;Porta San Donato;from 20 to 40 minutes;451
25/12/2019;Porta San Donato;from 4 to 6 hours;12
25/12/2019;Piazza Puntoni (Via Zamboni);from 40 to 60 minutes;63
25/12/2019;Piazza Puntoni (Via Zamboni);from 60 to 90 minutes;20
25/12/2019;Piazza Puntoni (Via Zamboni);from 90 to 120 minutes;33
25/12/2019;Piazza Puntoni (Via Zamboni);from 4 to 6 hours;9
25/12/2019;Via San Giacomo;from 90 to 120 minutes;4
25/12/2019;Via San Giacomo;from 2 to 3 hours;4
25/12/2019;Piazza Scaravilli;from 10 to 20 minutes;0
25/12/2019;Piazza Scaravilli;from 40 to 60 minutes;0
